Date,Amount,Category,Description,PaymentMethod,UserType
2026-05-11,2900,Food,DMart monthly groceries,UPI,Personal
2026-05-09,5000,Subscriptions,Microsoft 365 — family,UPI,Institution
2026-05-09,49300,Salaries,Salary — Accountant,NetBanking,Institution
2026-05-08,28900,Travel,MakeMyTrip — vacation pkg,UPI,Personal
2026-05-08,790,Healthcare,Apollo Pharmacy — medicines,NetBanking,Personal
2026-05-07,4600,Travel,IndiGo flight — Mumbai-Delhi,UPI,Personal
2026-05-07,2500,Shopping,Amazon — electronics,UPI,Personal
2026-05-06,3800,Maintenance,Pest control quarterly,Card,Personal
2026-05-06,620,Food,Zomato — pizza & cola,UPI,Personal
2026-05-05,9650,Maintenance,Vehicle service — Maruti,Card,Business
2026-05-04,1600,Travel,Toll — FASTag recharge,Card,Business
2026-05-04,31800,Salaries,Stipend — interns batch,NetBanking,Business
2026-05-04,3300,Maintenance,Electrician — wiring fix,Card,Personal
2026-05-04,840,Utilities,Airtel postpaid mobile,NetBanking,Institution
2026-05-03,540,Travel,Uber ride — airport,Card,Business
2026-05-02,3600,Utilities,Electricity bill — Tata Power,NetBanking,Institution
2026-05-02,16300,Healthcare,Health insurance premium,Cash,Institution
2026-05-02,2400,Shopping,Lifestyle store,Card,Personal
2026-05-01,380,Subscriptions,Disney+ Hotstar,Card,Institution
2026-04-30,1800,Utilities,Jio fiber broadband,UPI,Personal
2026-04-30,38300,Salaries,Salary — Accountant,BankTransfer,Business
2026-04-30,5600,Maintenance,Office deep cleaning,Cash,Institution
2026-04-29,31600,Shopping,Reliance Digital — TV,UPI,Personal
2026-04-29,2400,Maintenance,Pest control quarterly,Cash,Business
2026-04-28,5650,Healthcare,Eye checkup + glasses,Card,Institution
2026-04-28,1000,Utilities,Gas cylinder — Indane,UPI,Personal
2026-04-27,920,Office Supplies,"Stationery — pens, files",Cash,Institution
2026-04-26,1000,Utilities,Jio fiber broadband,NetBanking,Business
2026-04-25,1200,Maintenance,AC servicing — split unit,Cash,Personal
2026-04-24,1500,Healthcare,Doctor consultation — Practo,UPI,Institution
2026-04-23,1450,Subscriptions,Disney+ Hotstar,UPI,Personal
